iso2,country,population_m,gdp_eur_bn,gov_employment_k,elec_price_eur_mwh,renewables_pct,land_km2,frontline,grid_isolated,seismic,min_sites,hyperscaler_regions_live,sovereign_cloud_initiative,digital_id,ixp,threat_notes
DE,Germany,83.577,4469.8,3041.3,226.4,54.1,353296,0,0,low,4,6,"Deutsche Verwaltungscloud (DVC) federated launched Mar 2025 (IT-Planungsrat/govdigital/FITKO); Bundescloud (ITZBund); Delos Cloud (SAP/Arvato on Azure, BSI-aligned); openDesk (ZenDiS); STACKIT/IONOS/T-Cloud; BSI C5",Online-Ausweis eID + BundID/DeutschlandID,DE-CIX Frankfurt (world's largest) Hamburg Munich; Norden/Sylt/Rostock landings,"Low seismic; Ahr/Rhine/Elbe floods (2021); Frankfurt grid saturated (multi-year waits) with headroom in Brandenburg/east; 3rd-highest EU power price; north-south grid bottlenecks; LNG gas import; NATO; sabotage/drone incidents at DCs 2024-25"
EL,Greece,10.588,248.4,346.5,174.0,51.2,130048,0,0,high,3,0,"G-Cloud (Single Government Cloud) - GSIS / Ministry of Digital Governance Tier-3 DC on SYZEFXIS; GRNET research cloud/HPC and EUDI wallet lead; hybrid policy for non-critical data",gov.gr Wallet (TaxisNet-based),GR-IX Athens; Crete (Chania) and Attica East-Med landings,"HIGH seismic (Aegean arc; Athens 1999; Crete 2021) - seismic design mandatory; wildfire/extreme heat; flash floods (Thessaly 2023); mountainous with sites in Attica/Thessaloniki; Attica grid needs upgrade; LNG gas import; NATO; Turkey tensions"
HU,Hungary,9.540,218.8,397.5,213.2,24.1,91248,0,0,low,3,0,"Kormanyzati Felho (Government Cloud) + Kormanyzati Adatkozpont (KAK) operated by NISZ Zrt. under the Digital Hungary Agency; ministry IT consolidation by decree",DAP - Digitalis Allampolgarsag app + eSzemelyi eID,BIX Budapest; landlocked,"Low-moderate seismic; Danube/Tisza floods (2024); flat land abundant, water stress rising; Paks nuclear + Paks II (Rosatom) - Russian nuclear fuel and TurkStream gas dependence; ~25% power imports; 4th-highest EU industrial power price; ~130 km from Ukraine"
IE,Ireland,5.420,602.4,143.5,255.2,41.3,68655,0,1,low,3,2,"No sovereign cloud; OGCIO Build to Share + Government Cloud Network + Backweston government DCs; cloud-first Advice Note; Digital Decade 2025 report flags DC grid limits",MyGovID (Public Services Card),INEX Dublin/Cork; Atlantic landings Killala Kinsale Cork,"Negligible seismic; Atlantic storm/coastal and river floods; GRID IS BINDING: EirGrid Dublin DC connection moratorium to ~2028, DCs ~21% of national electricity; most expensive EU power; single UK gas pipeline until Celtic Interconnector (~2027); neutral non-NATO; subsea cable vulnerability"
IT,Italy,58.94,2258.0,1158.6,220.3,40.7,297825,0,0,high,4,4,"Polo Strategico Nazionale (PSN) - operational since 2023, TIM/Leonardo/CDP/Sogei consortium, 4 DC pairs; ACN cloud qualification regime (Strategia Cloud Italia)",SPID / CIE (IT-Wallet in rollout),MIX Milan; NAMEX Rome; landings Genoa, Sicily, Bari,"High seismic/volcanic (Apennines, Naples, Etna); Po/Emilia floods (2023); gas-import dependent with structurally high power price; north-south grid bottlenecks (Lombardy hosts most capacity); low geopolitical frontline risk"
LV,Latvia,1.86,43.0,63.0,136.1,55.5,63290,1,0,low,3,0,"Latvian National Federated Cloud / LVDC - LVRTC + Interior Ministry IC + MoA DC + National Library; RRF-funded phase completed May 2026 (64 state systems hosted)",eID card / eParaksts / Smart-ID,LIX Riga; LVRTC Latvia-Sweden Baltic cable,"Borders Russia and Belarus; NATO frontline; Baltic subsea sabotage and GNSS jamming; no seismic; some Daugava/coastal flooding; desynchronised from BRELL 2025; import-dependent in dry years"
LT,Lithuania,2.89,84.3,94.3,159.1,49.0,62643,1,0,low,3,0,"Valstybes debesija (State Cloud) - operated by KVTC under the Ministry of National Defence in state data centres",eID / Mobile-ID / Smart-ID,LIXP Vilnius/Kaunas; no own subsea (NordBalt fibre to SE),"Between Kaliningrad and Belarus (Suwalki Gap) - highest frontline exposure; drone/GNSS incidents; no seismic; post-Ignalina electricity importer, Klaipeda LNG, Continental sync 2025; limited grid headroom for large loads"
LU,Luxembourg,0.68,89.5,38.3,171.7,20.5,2586,0,0,low,2,0,"Clarence (Proximus + LuxConnect, Google Distributed Cloud disconnected, 2024); CTIE GovCloud; LuxConnect state-owned Tier IV DCs; MeluXina HPC; hosts Estonia's Data Embassy",LuxTrust / eID / GouvID,LU-CIX; landlocked (Teralink to FRA/PAR/AMS/BRU),"Very low seismic/flood; scarce land and strict zoning; ~80%+ of electricity imported; small labour pool; very low geopolitical risk; strong existing Tier-IV base"
MT,Malta,0.574,24.6,23.6,135.2,10.7,313,0,1,low,2,0,"MITA Government Hybrid Cloud (MITA data centre + Azure); National Digital Strategy 2022-2027",Maltese eID (Identita) / MyIdentity,No major IXP (transits Sicily/Milan); Malta-Sicily cables and power interconnector,"Extreme land and water scarcity; single-corridor dependence on Sicily for both power and data (interconnector outages 2019, 2024 heat-wave blackouts); gas/LNG generation; low seismic (Etna proximity); low geopolitical risk"
NL,Netherlands,18.04,1170.6,716.4,199.1,50.5,34188,0,0,low,3,2,"Soevereine overheidscloud / Rijkscloud - cabinet decision Jul 2026 to build a government-run sovereign cloud hosted in the Overheidsdatacenters (ODC-Noord etc.); first applications end-2026; SSC-ICT and Logius key operators",DigiD (Logius) / eHerkenning / NL Wallet pilot,AMS-IX and NL-ix; landings Egmond/Katwijk/Eemshaven,"~26% of land below sea level (Delta works); acute grid congestion (TenneT waiting lists) and Amsterdam-area DC moratoria; nitrogen/land-use constraints; Groningen induced seismicity; gas importer; low geopolitical frontline risk"
PL,Poland,36.50,922.9,1214.6,191.5,30.4,307236,1,0,low,4,2,"WIIP: Rzadowa Chmura Obliczeniowa (RChO, COI/NASK, Ministry of Digital Affairs) + ZUCH public-cloud marketplace; Chmura Krajowa/OChK (PKO BP + PFR) commercial; national sovereign cloud/AI factory debate under EU CADA",Profil Zaufany / mObywatel / e-dowod,PLIX and Equinix IX Warsaw; no major subsea landing,"Frontline: borders Kaliningrad, Belarus and Ukraine; recurring sabotage/arson and drone incursions (2025); GNSS jamming; no seismic; Oder/Vistula floods (2024); coal-heavy expensive grid with connection constraints; nuclear planned mid-2030s"
PT,Portugal,10.75,306.7,342.0,132.9,65.8,90996,0,1,high,3,0,"Plano Nacional de Nuvem Soberana - approved May 2026 (ARTE): data classification, technical requirements, phased state sovereign-cloud infrastructure; builds on Nuvem da AP (AMA/eSPap)",Chave Movel Digital / Cartao de Cidadao,GigaPIX Lisbon; Sines landing hub (EllaLink 2Africa Equiano Medusa),"Seismic/tsunami exposure Lisbon-Algarve-Azores (1755 fault systems); wildfire and drought inland; Iberian grid island with weak links to France (Apr 2025 blackout) but cheap high-renewable power and land near Sines; very low geopolitical risk"
RO,Romania,19.04,380.1,396.1,188.7,47.6,234270,1,0,high,4,0,"Cloud Privat Guvernamental - STS-operated, PNRR-funded (~EUR 560m package with SRI/ADR), 4 regional DCs (Bucharest, Timis, Brasov, Sibiu), national operational phase Mar 2026",ROeID / electronic ID card (CEI),InterLAN and RoNIX Bucharest; Black Sea KAFOS at Constanta,"Vrancea intermediate-depth seismic zone - Bucharest highest-risk EU capital (1977 M7.2); Danube/flash floods; borders Ukraine and Moldova with drone-debris incidents 2023-25; energy largely self-sufficient (gas, nuclear, hydro) but grid reinforcement lagging"
SK,Slovakia,5.42,136.8,210.2,209.0,24.9,48702,0,0,moderate,3,0,"Vladny cloud (Government Cloud) - Ministry of Interior Datacentrum Kopcianska + MoF DataCentrum (backup Tajov); MIRRI governance; hybrid extension to certified providers",eID (obciansky preukaz s cipom) / Slovensko v mobile,SIX Bratislava and NIX.SK; landlocked,"Low-moderate seismic (Zilina/Komarno zones); Danube/Vah floods (2024); short Ukraine border; gas-transit dependency (Russian transit ended Jan 2025); nuclear ~60% reliable baseload but high industrial price; cheap land in centre/east"
SI,Slovenia,2.13,70.5,51.4,150.3,43.1,20145,0,0,moderate,3,0,"Drzavni racunalniski oblak (DRO) - Ministry of Digital Transformation state cloud in the national government DC (Ljubljana) + DR site; EuroHPC Vega (Maribor)",SI-PASS / smsPASS / eOsebna eID card,SIX (ARNES) Ljubljana; no major landing (Koper),"Moderate seismic (Ljubljana basin; Bovec 1998/2004); catastrophic Aug 2023 floods (Savinja/Sava); mountainous with limited flat land; Krsko NPP shared with Croatia; low geopolitical risk"
ES,Spain,49.13,1687.2,1400.9,132.4,59.7,502654,0,1,low,4,3,"No single state cloud: Nube SARA / SGAD common services, sectoral ENS-Alta clouds (AEAT, GISS); regional sovereign clouds emerging (Madrid 2026); Telefonica/IBM, Indra, Oracle sovereign offers under ENS",Cl@ve / DNIe,DE-CIX Madrid and ESpanix; landings Bilbao (MAREA, Grace Hopper) and Barcelona (2Africa, Medusa),"Drought/heat and water stress (cooling constraint); low seismic except Granada-Murcia/Alboran; Iberian grid island (Apr 2025 nationwide blackout); long connection queues (Madrid, Aragon) despite cheap renewable power; abundant land; very low geopolitical risk"
SE,Sweden,10.59,601.2,420.4,97.0,88.1,407300,0,0,low,3,3,"Nationell molnpolicy (May 2026, guidance) + coordinated statlig it-drift via Forsakringskassan (SAFOS), Skatteverket, Lantmateriet, Trafikverket; no single state cloud; Kammarkollegiet procurement, DIGG coordination",BankID / Freja eID+; state e-ID 2026,Netnod Stockholm/Gothenburg/Malmo/Sundsvall; Baltic cables to FI/LV/LT/DK,"No seismic/flood; cold climate favours free cooling; NATO (2024) with Baltic subsea sabotage and Gotland exposure; north-south grid bottlenecks (SE1/2 surplus vs SE3/4 constraints); 2nd-cheapest EU power, ~98% low-carbon"
